Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
3 bedroom house for rent,Lekki Phase 1,14000000,3,3,4,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/lekki-phase-1/3272951-quite-spacious-3-bedroom-duplex-no-bq
2 bedroom flat / apartment for rent,Lekki Phase 1,9500000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3273950-fully-serviced-2-bedroom-apartment-with-24-hours-light
3 bedroom flat / apartment for rent,Lekki Phase 1,25000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3273375-newly-built-luxury-3-bedroom-flat-with-a-room
3 bedroom flat / apartment for rent,Lekki Phase 1,25000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3207033-fully-serviced-brand-new-3-bedroom-with-bq
3 bedroom flat / apartment for rent,Lekki Phase 1,45000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3273569-3-bedroom-penthouse-with-pool-guaranteed-24-hour-power
3 bedroom flat / apartment for rent,Lekki Phase 1,23000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3170068-exquisite-luxury-serviced-3-bedroom-flat-with-a-room-bq
2 bedroom flat / apartment for rent,Lekki Phase 1,20000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3273354-fully-furnished-and-finished-3-bedroom-apartment
3 bedroom terraced duplex for rent,Lekki Phase 1,14000000,3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/3272912-3-bedroom-duplex
2 bedroom terraced duplex for rent,Lekki Phase 1,13000000,2,2,3,2 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/3264333-newly-built-2-bedroom-terrace
4 bedroom terraced duplex for rent,Lekki Phase 1,35000000,4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/3272123-4-bedroom-semi-detached-duplex
